iter	Passed	Remaining
0	5	5719
1	10	5355
2	21	7087
3	27	6902
4	34	6819
5	40	6715
6	48	6825
7	57	7140
8	67	7483
9	73	7286
10	80	7249
11	88	7256
12	94	7211
13	102	7190
14	104	6836
15	111	6860
16	117	6767
17	122	6705
18	129	6674
19	134	6568
20	138	6472
21	144	6431
22	149	6351
23	156	6357
24	164	6415
25	173	6484
26	183	6612
27	195	6800
28	206	6898
29	214	6930
30	221	6919
31	229	6937
32	236	6942
33	243	6922
34	248	6857
35	253	6791
36	258	6738
37	266	6748
38	271	6693
39	282	6788
40	294	6896
41	302	6906
42	310	6917
43	321	6982
44	327	6957
45	332	6899
46	337	6843
47	343	6815
48	348	6764
49	353	6714
50	359	6696
51	364	6648
52	369	6603
53	375	6583
54	380	6539
55	385	6497
56	391	6478
57	396	6438
58	401	6398
59	406	6366
60	414	6379
61	419	6341
62	425	6326
63	430	6292
64	437	6293
65	448	6351
66	453	6319
67	460	6308
68	465	6276
69	470	6246
70	476	6231
71	481	6201
72	486	6171
73	492	6158
74	497	6129
75	503	6122
76	512	6144
77	517	6116
78	523	6101
79	528	6075
80	533	6050
81	539	6037
82	544	6011
83	549	5986
84	553	5963
85	560	5955
86	565	5932
87	570	5908
88	576	5901
89	581	5878
90	586	5855
91	593	5855
92	598	5833
93	603	5813
94	609	5801
95	613	5780
96	618	5759
97	625	5755
98	630	5735
99	634	5714
100	641	5712
101	646	5692
102	651	5673
103	658	5673
104	663	5654
105	668	5635
106	675	5633
107	679	5615
108	684	5598
109	691	5595
110	696	5578
111	701	5560
112	708	5559
113	713	5541
114	717	5525
115	723	5513
116	728	5496
117	733	5479
118	739	5478
119	744	5462
120	749	5446
121	756	5445
122	761	5429
123	766	5414
124	772	5410
125	777	5395
126	782	5380
127	789	5378
128	794	5363
129	799	5349
130	805	5345
131	810	5330
132	817	5329
133	822	5314
134	827	5300
135	832	5288
136	838	5283
137	843	5270
138	848	5255
139	854	5251
140	859	5238
141	864	5224
142	871	5220
143	876	5209
144	883	5206
145	888	5194
146	893	5182
147	898	5170
148	904	5165
149	909	5154
150	915	5145
151	922	5146
152	927	5134
153	933	5128
154	939	5121
155	945	5114
156	951	5110
157	956	5099
158	961	5086
159	967	5080
160	972	5069
161	977	5057
162	984	5055
163	989	5042
164	994	5030
165	999	5024
166	1004	5011
167	1009	5000
168	1015	4995
169	1020	4983
170	1025	4971
171	1031	4967
172	1036	4955
173	1041	4944
174	1047	4937
175	1052	4926
176	1057	4915
177	1062	4906
178	1067	4897
179	1072	4886
180	1077	4875
181	1083	4871
182	1088	4860
183	1093	4849
184	1100	4846
185	1104	4835
186	1109	4825
187	1116	4823
188	1121	4812
189	1126	4801
190	1134	4805
191	1139	4794
192	1145	4788
193	1151	4782
194	1156	4772
195	1162	4766
196	1166	4756
197	1171	4746
198	1177	4738
199	1182	4729
200	1187	4719
201	1192	4710
202	1198	4704
203	1203	4695
204	1213	4706
205	1222	4710
206	1231	4716
207	1237	4712
208	1248	4724
209	1256	4727
210	1265	4731
211	1274	4736
212	1284	4746
213	1295	4759
214	1302	4754
215	1314	4770
216	1326	4786
217	1337	4798
218	1351	4818
219	1363	4834
220	1373	4842
221	1389	4870
222	1404	4893
223	1416	4908
224	1432	4934
225	1446	4952
226	1461	4977
227	1469	4976
228	1481	4988
229	1492	4995
230	1502	5000
231	1512	5006
232	1523	5013
233	1537	5031
234	1552	5052
235	1563	5061
236	1575	5073
237	1587	5082
238	1601	5099
239	1616	5117
240	1628	5127
241	1641	5140
242	1653	5149
243	1665	5159
244	1674	5161
245	1686	5168
246	1696	5172
247	1709	5184
248	1721	5191
249	1732	5197
250	1743	5203
251	1753	5206
252	1765	5213
253	1777	5221
254	1789	5229
255	1800	5234
256	1813	5242
257	1823	5243
258	1834	5249
259	1845	5251
260	1856	5256
261	1862	5247
262	1874	5253
263	1885	5257
264	1895	5256
265	1905	5257
266	1912	5250
267	1917	5237
268	1924	5230
269	1929	5217
270	1934	5203
271	1940	5194
272	1945	5181
273	1950	5168
274	1956	5158
275	1961	5145
276	1967	5134
277	1973	5125
278	1978	5111
279	1982	5099
280	1989	5090
281	1994	5077
282	1999	5064
283	2005	5054
284	2009	5042
285	2014	5029
286	2021	5023
287	2028	5014
288	2033	5002
289	2039	4992
290	2044	4980
291	2049	4968
292	2055	4958
293	2059	4946
294	2064	4934
295	2071	4925
296	2075	4913
297	2080	4901
298	2086	4892
299	2091	4880
300	2096	4868
301	2102	4859
302	2107	4847
303	2112	4835
304	2117	4824
305	2123	4816
306	2128	4804
307	2133	4793
308	2139	4785
309	2144	4773
310	2149	4762
311	2156	4754
312	2165	4753
313	2172	4745
